,Week_Of,Mon,Tue,Wed,Thu,Fri
0,1997 Jan- 6 to Jan-10,,3.82,3.80,3.61,3.92
1,1997 Jan-13 to Jan-17,4.00,4.01,4.34,4.71,3.91
2,1997 Jan-20 to Jan-24,3.26,2.99,3.05,2.96,2.62
3,1997 Jan-27 to Jan-31,2.98,3.05,2.91,2.86,2.77
4,1997 Feb- 3 to Feb- 7,2.49,2.59,2.65,2.51,2.39
5,,,,,,
6,1997 Feb-10 to Feb-14,2.42,2.34,2.42,2.22,2.12
7,1997 Feb-17 to Feb-21,,1.84,1.95,1.92,1.92
8,1997 Feb-24 to Feb-28,1.92,1.77,1.81,1.80,1.78
9,1997 Mar- 3 to Mar- 7,1.80,1.87,1.92,1.82,1.89
10,1997 Mar-10 to Mar-14,1.95,1.92,1.96,1.98,1.97
11,,,,,,
12,1997 Mar-17 to Mar-21,2.01,1.91,1.88,1.88,1.87
13,1997 Mar-24 to Mar-28,1.80,1.85,1.85,1.84,
14,1997 Mar-31 to Apr- 4,1.84,1.95,1.85,1.87,1.91
15,1997 Apr- 7 to Apr-11,1.99,2.01,1.96,1.97,1.98
16,1997 Apr-14 to Apr-18,2.00,2.00,2.02,2.08,2.10
17,,,,,,
18,1997 Apr-21 to Apr-25,2.09,2.10,2.22,2.11,2.16
19,1997 Apr-28 to May- 2,2.10,2.09,2.16,2.19,2.21
20,1997 May- 5 to May- 9,2.23,2.25,2.34,2.33,2.30
21,1997 May-12 to May-16,2.27,2.18,2.22,2.25,2.19
22,1997 May-19 to May-23,2.25,2.22,2.21,2.22,2.20
23,,,,,,
24,1997 May-26 to May-30,,2.29,2.34,2.29,2.23
25,1997 Jun- 2 to Jun- 6,2.20,2.11,2.19,2.18,2.19
26,1997 Jun- 9 to Jun-13,2.19,2.16,2.16,2.14,2.15
27,1997 Jun-16 to Jun-20,2.20,2.20,2.22,2.23,2.25
28,1997 Jun-23 to Jun-27,2.29,2.32,2.32,2.23,2.17
29,,,,,,
30,1997 Jun-30 to Jul- 4,2.17,2.16,2.14,2.11,
31,1997 Jul- 7 to Jul-11,2.13,2.13,2.16,2.15,2.16
32,1997 Jul-14 to Jul-18,2.18,2.21,2.24,2.29,2.26
33,1997 Jul-21 to Jul-25,2.17,2.18,2.20,2.24,2.22
34,1997 Jul-28 to Aug- 1,2.19,2.23,2.19,2.23,2.24
35,,,,,,
36,1997 Aug- 4 to Aug- 8,2.26,2.33,2.38,2.50,2.38
37,1997 Aug-11 to Aug-15,2.53,2.56,2.45,2.57,2.53
38,1997 Aug-18 to Aug-22,2.56,2.61,2.62,2.45,2.47
39,1997 Aug-25 to Aug-29,2.53,2.58,2.51,2.57,2.69
40,1997 Sep- 1 to Sep- 5,,2.82,2.86,2.73,2.67
41,,,,,,
42,1997 Sep- 8 to Sep-12,2.67,2.74,2.74,2.78,2.86
43,1997 Sep-15 to Sep-19,2.88,2.83,2.75,2.84,2.94
44,1997 Sep-22 to Sep-26,2.98,3.09,3.03,3.05,3.24
45,1997 Sep-29 to Oct- 3,3.09,2.96,3.08,2.97,2.91
46,1997 Oct- 6 to Oct-10,2.96,2.81,2.80,2.80,2.78
47,,,,,,
48,1997 Oct-13 to Oct-17,2.87,2.84,2.84,2.94,2.97
49,1997 Oct-20 to Oct-24,3.05,3.13,3.24,3.34,3.29
50,1997 Oct-27 to Oct-31,3.46,3.61,3.45,3.34,3.22
51,1997 Nov- 3 to Nov- 7,3.23,3.15,3.18,3.20,3.05
52,1997 Nov-10 to Nov-14,3.20,3.26,3.28,3.27,3.25
53,,,,,,
54,1997 Nov-17 to Nov-21,3.10,3.00,2.97,2.77,2.59
55,1997 Nov-24 to Nov-28,2.63,2.51,2.50,,
56,1997 Dec- 1 to Dec- 5,2.52,2.61,2.53,2.48,2.42
57,1997 Dec- 8 to Dec-12,2.30,2.35,2.45,2.30,2.30
58,1997 Dec-15 to Dec-19,2.25,2.29,2.38,2.37,2.39
59,,,,,,
60,1997 Dec-22 to Dec-26,2.36,2.24,2.06,,2.18
61,1997 Dec-29 to Jan- 2,2.33,2.27,2.27,,2.16
62,1998 Jan- 5 to Jan- 9,2.05,2.16,2.13,2.11,2.09
63,1998 Jan-12 to Jan-16,2.01,2.03,2.05,2.07,2.11
64,1998 Jan-19 to Jan-23,,2.12,2.09,2.10,2.14
65,,,,,,
66,1998 Jan-26 to Jan-30,2.09,2.06,2.09,2.07,2.09
67,1998 Feb- 2 to Feb- 6,2.23,2.27,2.23,2.31,2.35
68,1998 Feb- 9 to Feb-13,2.25,2.18,2.21,2.20,2.22
69,1998 Feb-16 to Feb-20,,2.18,2.19,2.22,2.20
70,1998 Feb-23 to Feb-27,2.20,2.19,2.21,2.28,2.23
71,,,,,,
72,1998 Mar- 2 to Mar- 6,2.26,2.24,2.19,2.12,2.10
73,1998 Mar- 9 to Mar-13,2.17,2.25,2.25,2.23,2.21
74,1998 Mar-16 to Mar-20,2.20,2.20,2.21,2.25,2.28
75,1998 Mar-23 to Mar-27,2.33,2.29,2.33,2.29,2.26
76,1998 Mar-30 to Apr- 3,2.32,2.34,2.45,2.43,2.51
77,,,,,,
78,1998 Apr- 6 to Apr-10,2.51,2.51,2.65,2.61,
79,1998 Apr-13 to Apr-17,2.52,2.42,2.48,2.48,2.40
80,1998 Apr-20 to Apr-24,2.40,2.46,2.46,2.35,2.31
81,1998 Apr-27 to May- 1,2.29,2.27,2.29,2.18,2.11
82,1998 May- 4 to May- 8,2.10,2.19,2.12,2.16,2.11
83,,,,,,
